sku_id,sku_name
2867825,Inference Engine
1419610,Training Dataset
5614226,Neural Processor
5108603,Training Dataset
4744854,Data Labeling Tool
3341057,AutoML Tool
2719583,GPU Cluster
2458591,GPU Cluster
8078673,Training Dataset
1533224,Model Weights
1499914,Model Weights
2571945,Neural Processor
4668136,Data Labeling Tool
4903402,GPU Cluster
9478454,Neural Processor
1445199,Model Weights
4335942,Neural Processor
8038374,AutoML Tool
4698379,Model Weights
8536477,Pretrained Model
5667265,Data Labeling Tool
1109031,Transformer Block
3678638,GPU Cluster
8090293,Inference Engine
6708456,AutoML Tool
5661907,Edge Device
3608513,Transformer Block
4612365,Inference Engine
6647119,Model Weights
2714803,Edge Device
2556017,Training Dataset
7374122,Training Dataset
2622631,AutoML Tool
7022674,Training Dataset
6770619,Edge Device
5437923,Edge Device
1728977,Data Labeling Tool
8707870,Transformer Block
9996414,GPU Cluster
3094235,Pretrained Model
7350753,Neural Processor
2322047,Training Dataset
5918715,AutoML Tool
7067228,Training Dataset
4226067,Neural Processor
2166941,Transformer Block
1768805,Data Labeling Tool
4823498,Edge Device
5855124,Data Labeling Tool
2338687,Model Weights
