definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,6.51,15.47,13.15
2,1,2,11,17.25,44.12,32.93
3,3,3,42,15.89,53.87,31.37
4,5,1,30,13.55,13.56,16.39
5,3,4,44,22.23,23.68,21.95
6,1,3,18,14.29,28.87,20.54
7,2,1,14,18.4,23.87,18.14
8,4,6,17,10.5,17.45,21.59
9,2,2,28,24.4,41.56,35.45
10,4,5,32,15.69,21.98,45.43
11,1,1,44,17.7,12.94,12.04
12,5,4,34,6.27,27.23,14.31
13,5,3,44,24.77,37.87,18.51
14,3,5,11,28.41,32.27,33.84
15,1,4,33,18.96,14.96,22.68
16,5,2,41,25.71,26.34,41.97
17,5,5,50,12.72,22.61,28.41
18,1,5,24,21.54,22.89,33.97
19,2,3,6,10.94,47.44,45.41
20,4,6,9,15.85,18.79,22.45
21,4,2,39,26.34,32.61,22.7
22,2,4,46,18.62,23.32,20.9
23,4,3,34,27.21,30.16,35.95
24,1,4,36,9.28,10.21,10.74
25,5,2,15,13.1,35.43,20.14
26,1,1,43,17.67,14.46,10.84
27,2,4,37,13.28,27.1,20.43
28,2,4,7,16.64,13.53,21.67
29,4,6,4,9.97,24.82,14.71
30,1,6,7,6.71,25.49,20.5
