parent_sku_id,child_sku_id,quantity
8078673,9996414,2
8078673,8038374,1
2338687,7350753,7
6770619,8038374,6
2458591,5108603,2
2694522,2458591,4
8707870,5855124,4
7377459,7067228,4
2571945,2719583,9
2571945,8038374,8
2166941,2458591,3
7022674,3341057,7
9996414,6708456,3
4903402,2458591,5
8536477,5437923,8
1728977,4698379,4
2322047,5667265,2
2556017,2166941,8
4335942,6770619,9
8707870,4335942,2
2694522,8707870,1
2338687,2571945,9
4823498,2338687,1
1445199,3094235,2
5855124,3094235,4
3678638,7022674,3
6647119,4698379,7
2166941,7022674,8
4226067,2714803,8
3608513,1445199,4
7374122,1533224,7
1728977,1533224,1
7374122,2166941,3
1499914,2556017,7
4698379,5661907,1
8038374,2556017,7
2458591,2714803,5
6708456,2622631,8
4744854,2338687,5
7350753,2719583,7
