sku_id,process_id
4823498,5
6770619,3
5108603,2
4823498,3
5667265,1
5108603,3
8707870,3
2556017,2
2622631,4
7022674,5
1499914,6
2622631,5
3341057,6
2571945,5
4744854,1
9996414,6
4744854,5
7067228,3
1445199,6
5661907,1
2458591,2
1728977,3
1445199,1
8707870,1
5614226,5
3094235,2
3341057,3
3608513,3
5918715,5
8707870,2
1728977,6
7022674,3
5667265,2
4335942,6
4903402,6
5918715,3
2166941,5
5667265,4
1445199,3
4335942,1
8078673,6
5918715,4
2322047,3
8536477,1
2714803,1
5667265,3
5855124,2
4744854,6
2867825,3
2714803,2
3094235,6
1728977,4
2719583,5
6770619,4
4903402,5
