definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,15,0.0,17.1,0.0
2,1,3,7,0.0,36.53,0.0
3,3,4,24,0.0,28.23,0.0
4,3,2,43,0.0,25.75,0.0
5,1,3,11,0.0,30.62,0.0
6,2,5,25,0.0,19.92,0.0
7,5,3,21,0.0,20.21,0.0
8,2,1,21,0.0,35.72,0.0
9,3,4,37,0.0,18.47,0.0
10,3,6,32,0.0,22.16,0.0
11,4,4,9,0.0,18.46,0.0
12,5,2,48,0.0,27.49,0.0
13,4,5,26,0.0,35.67,0.0
14,2,3,9,0.0,39.94,0.0
15,4,5,4,0.0,17.27,0.0
16,2,1,44,0.0,31.06,0.0
17,5,4,25,0.0,16.65,0.0
18,4,5,36,0.0,27.26,0.0
19,1,1,35,0.0,32.36,0.0
20,3,3,28,0.0,19.61,0.0
21,4,2,47,0.0,15.27,0.0
22,3,6,49,0.0,41.29,0.0
23,5,2,41,0.0,36.01,0.0
24,5,3,10,0.0,29.08,0.0
25,2,3,50,0.0,28.95,0.0
26,1,5,32,0.0,30.37,0.0
27,1,1,20,0.0,38.3,0.0
28,1,2,37,0.0,21.78,0.0
29,1,1,5,0.0,33.57,0.0
30,2,5,31,0.0,19.08,0.0
