plant_id,sku_id,quantity
4,5661907,725
3,5437923,970
3,2867825,886
4,8536477,174
5,4698379,566
5,4903402,524
1,4612365,744
4,8707870,689
5,9996414,299
2,2322047,835
3,5667265,813
1,2714803,493
4,6647119,606
1,6647119,509
5,7067228,349
2,2622631,771
3,2556017,804
4,4823498,105
1,1499914,868
3,5918715,981
5,3341057,888
3,4698379,209
1,2622631,897
5,7350753,324
3,3094235,280
4,1109031,923
3,3341057,812
4,5855124,630
3,1445199,575
2,8536477,670
2,9478454,355
4,4668136,968
4,1533224,224
2,1419610,567
5,5614226,236
5,1445199,920
