definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,1,6,6,1.92,0.88,2.02
2,1,2,11,3.1,1.21,2.72
3,3,3,42,5.23,2.21,3.98
4,5,1,30,7.26,1.09,4.54
5,3,4,44,5.48,1.09,3.44
6,1,3,18,5.13,1.3,2.78
7,2,1,14,9.95,1.83,5.14
8,4,6,17,2.86,0.9,3.76
9,2,2,28,4.38,1.16,2.98
10,4,5,32,5.52,0.97,6.39
11,1,1,44,9.58,1.09,3.31
12,5,4,34,1.8,1.2,2.27
13,5,3,44,8.71,1.66,2.45
14,3,5,11,9.34,1.33,4.32
15,1,4,33,5.12,0.86,4.02
16,5,2,41,4.52,0.81,3.64
17,5,5,50,4.47,0.99,3.9
18,1,5,24,7.74,1.03,4.79
19,2,3,6,3.92,2.13,6.5
20,4,6,9,4.21,0.94,3.94
21,4,2,39,4.63,0.94,1.66
22,2,4,46,5.03,1.13,3.64
23,4,3,34,9.57,1.33,5.0
24,1,4,36,2.63,0.71,1.51
25,5,2,15,2.3,0.99,1.4
26,1,1,43,9.57,1.19,2.95
27,2,4,37,3.66,1.25,3.55
28,2,4,7,4.52,0.82,3.81
29,4,6,4,2.74,1.12,2.35
30,1,6,7,1.97,1.2,3.56
