definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,5,3,5,27.14,0.48,4.89
2,2,1,7,3.87,0.94,4.93
3,3,4,23,2.27,0.67,4.17
4,3,2,41,3.51,0.63,3.42
5,5,2,41,3.65,0.75,0.82
6,5,6,4,1.1,0.91,1.62
7,1,2,37,4.03,0.63,2.01
8,3,6,42,1.06,0.95,2.5
9,2,4,17,1.32,0.82,1.23
10,5,6,9,2.14,0.74,2.92
11,4,5,41,7.27,0.44,2.38
12,4,2,30,2.98,0.84,1.92
13,3,5,47,29.28,0.4,8.89
14,5,1,19,3.75,0.74,3.84
15,2,4,17,2.27,0.95,4.77
16,2,5,41,17.69,0.65,2.85
17,5,5,50,9.97,0.46,4.99
18,1,5,24,19.97,0.44,5.91
19,2,3,6,6.45,0.78,9.02
20,4,6,9,4.08,0.81,4.89
21,4,2,39,4.73,0.81,0.83
22,2,4,46,4.64,0.88,3.78
23,4,3,34,29.88,0.58,7.2
24,1,4,36,1.24,0.61,0.32
25,5,2,15,1.1,0.85,0.35
26,1,1,43,4.3,0.7,0.35
27,2,4,37,2.7,0.95,3.62
28,2,4,7,3.92,0.68,4.04
29,4,6,4,1.77,0.95,2.06
30,1,6,7,0.3,0.92,3.64
