sku_id,sku_name
5108603,Microcontroller
4744854,PCB Board
3341057,Inductor
2719583,Capacitor
2458591,Capacitor
8078673,Resistor
1533224,Microcontroller
1499914,Solder Paste
2571945,Microcontroller
4668136,Thermal Pad
4903402,Ferrite Bead
9478454,PCB Board
1445199,PCB Board
4335942,Microcontroller
8038374,Capacitor
4698379,Capacitor
8536477,Solder Paste
5667265,Thermal Pad
1109031,PCB Board
3678638,Solder Paste
8090293,Capacitor
6708456,Solder Paste
5661907,Ferrite Bead
3608513,Capacitor
4612365,Crystal Oscillator
6647119,Thermal Pad
2714803,Inductor
2556017,PCB Board
7374122,Resistor
2622631,Ferrite Bead
7022674,Diode
6770619,Inductor
5437923,Resistor
1728977,Capacitor
8707870,Diode
9996414,Microcontroller
3094235,Microcontroller
7350753,Ferrite Bead
2322047,Microcontroller
5918715,Diode
7067228,Diode
4226067,Thermal Pad
2166941,Inductor
1768805,PCB Board
4823498,Crystal Oscillator
5855124,Solder Paste
2338687,Microcontroller
4905582,Ferrite Bead
2694522,Microcontroller
7377459,Solder Paste
