parent_sku_id,child_sku_id,quantity
4698379,2166941,10
1445199,5855124,10
1445199,6770619,9
8707870,4668136,6
7374122,1445199,5
2571945,1109031,4
2556017,4335942,6
9478454,2719583,4
5667265,7350753,5
2622631,4905582,7
4698379,8707870,3
2458591,2719583,5
7374122,4905582,8
9996414,8090293,6
1533224,2719583,2
2719583,2719583,1
4226067,7350753,8
8707870,7022674,10
5108603,5437923,10
8078673,1728977,2
2694522,4903402,2
4698379,2719583,9
4903402,5437923,4
2714803,8078673,9
6770619,9478454,5
7022674,2458591,3
4335942,2322047,6
6647119,2458591,2
2719583,1768805,4
4903402,4698379,6
4612365,6647119,5
5108603,1499914,3
4612365,3094235,8
8536477,4698379,9
2622631,7350753,5
1109031,2322047,10
2556017,3341057,9
4823498,5918715,1
2338687,8078673,9
9996414,2714803,5
