plant_id,sku_id,quantity
4,6647119,725
3,9996414,970
3,5108603,886
4,3678638,174
5,1109031,566
5,4335942,524
1,2556017,744
4,7350753,689
5,2322047,299
2,4226067,835
3,8090293,813
1,2622631,493
4,7374122,606
1,7374122,509
5,1768805,349
2,5437923,771
3,7022674,804
4,4905582,105
1,4903402,868
3,2166941,981
5,8078673,888
3,1109031,209
1,5437923,897
5,7067228,324
3,5918715,280
4,6708456,923
3,8078673,812
4,2694522,630
3,4698379,575
2,3678638,670
2,8038374,355
4,1445199,968
4,4668136,224
2,4744854,567
5,3341057,236
5,4698379,920
