definition_id,plant_id,process_id,employee_count,gas_count,elec_rate,diesel_count
1,5,3,5,83.13,0.16,41.7
2,2,1,6,0.0,0.51,0.0
3,1,2,30,0.0,0.35,0.0
4,3,6,23,0.0,0.27,0.0
5,3,2,44,0.0,0.48,0.0
6,1,6,11,0.0,0.44,0.0
7,2,5,25,0.0,0.27,0.0
8,5,3,4,43.18,0.33,39.46
9,1,2,26,0.0,0.52,0.0
10,1,3,21,42.66,0.36,76.57
11,4,2,42,0.0,0.36,0.0
12,2,4,17,45.89,0.27,34.8
13,5,6,38,0.0,0.37,0.0
14,3,4,6,43.16,0.25,79.85
15,1,1,11,0.0,0.26,0.0
16,4,6,25,0.0,0.44,0.0
17,5,4,1,89.77,0.39,51.75
18,1,6,35,0.0,0.47,0.0
19,3,3,47,36.69,0.24,46.09
20,3,6,49,0.0,0.59,0.0
21,5,2,41,0.0,0.57,0.0
22,5,3,35,66.54,0.33,29.17
23,1,5,32,0.0,0.44,0.0
24,1,1,20,0.0,0.57,0.0
25,1,2,37,0.0,0.3,0.0
26,1,1,5,0.0,0.49,0.0
27,2,5,31,0.0,0.25,0.0
28,2,5,39,0.0,0.31,0.0
29,2,4,46,85.73,0.31,65.32
30,4,3,34,89.71,0.23,58.99
