plant_id,sku_id,quantity
1,4744854,779
3,1499914,968
5,8536477,227
4,9478454,837
5,7350753,407
2,8536477,619
2,3341057,416
2,1533224,782
2,2322047,518
4,2556017,434
1,5661907,512
2,2338687,813
3,8090293,402
3,5437923,296
2,1499914,530
1,4612365,780
4,3094235,488
1,1445199,793
4,8536477,866
2,5855124,730
3,5108603,408
3,1728977,515
2,8707870,661
2,1768805,953
1,2338687,100
2,4905582,411
4,4905582,393
3,2166941,315
3,1445199,540
1,3608513,904
3,2556017,693
3,2458591,721
5,2166941,770
4,6708456,429
5,5918715,576
