sku_id,sku_name
5108603,Diesel Fuel
4744854,Truck Tire
3341057,Cargo Strap
2719583,Brake Pads
2458591,Brake Pads
8078673,Hydraulic Fluid
1533224,Diesel Fuel
1499914,Headlights
2571945,Diesel Fuel
4668136,Axle Shaft
4903402,Transmission Fluid
9478454,Truck Tire
1445199,Truck Tire
4335942,Diesel Fuel
8038374,Brake Pads
4698379,Brake Pads
8536477,Headlights
5667265,Axle Shaft
1109031,Truck Tire
3678638,Headlights
8090293,Brake Pads
6708456,Headlights
5661907,Transmission Fluid
3608513,Brake Pads
4612365,Coolant
6647119,Axle Shaft
2714803,Cargo Strap
2556017,Truck Tire
7374122,Hydraulic Fluid
2622631,Transmission Fluid
7022674,Oil Filter
6770619,Cargo Strap
5437923,Hydraulic Fluid
1728977,Brake Pads
8707870,Oil Filter
9996414,Diesel Fuel
3094235,Diesel Fuel
7350753,Transmission Fluid
2322047,Diesel Fuel
5918715,Oil Filter
7067228,Oil Filter
4226067,Axle Shaft
2166941,Cargo Strap
1768805,Truck Tire
4823498,Coolant
5855124,Headlights
2338687,Diesel Fuel
4905582,Transmission Fluid
2694522,Diesel Fuel
7377459,Headlights
