parent_sku_id,child_sku_id,quantity
7374122,2166941,7
1499914,2556017,8
4698379,5661907,8
8038374,2556017,4
2458591,2714803,7
6708456,2622631,1
4744854,2338687,3
7350753,2719583,7
9996414,1768805,1
8038374,4226067,7
7350753,4226067,5
8038374,1533224,8
5108603,2719583,5
2458591,6647119,7
5855124,2338687,9
7067228,6708456,8
2719583,1533224,3
8038374,4698379,4
2458591,1445199,5
3341057,1445199,4
6708456,8707870,1
2458591,7374122,10
5437923,2571945,9
4698379,2556017,1
5667265,9478454,6
2166941,5667265,1
6770619,2622631,1
4335942,4698379,10
8707870,2458591,8
2571945,7374122,9
2338687,9996414,9
3094235,1533224,3
3094235,2719583,1
7022674,4226067,9
4698379,8707870,2
7022674,5108603,3
2714803,8078673,2
1445199,2694522,10
1533224,4698379,2
1533224,4903402,4
